Date,Adj Close,Close,High,Low,Open,Volume
2023-04-05,963.241455078125,991.1024780273438,993.6500244140625,980.0499877929688,982.9500122070312,943020
2023-04-06,957.7113647460938,985.4124755859375,992.0,980.25,989.75,819560
2023-04-10,949.0591430664062,976.510009765625,985.822509765625,975.0499877929688,985.0,448280
2023-04-11,956.0761108398438,983.72998046875,984.75,973.75,982.4000244140625,882520
2023-04-12,944.6906127929688,972.0150146484375,984.75,968.2474975585938,984.75,1137640
2023-04-13,945.9077758789062,973.2675170898438,984.0,970.8125,975.0,923020
2023-04-17,983.7652587890625,1012.219970703125,1020.5,975.1074829101562,979.5,3887020
2023-04-18,1004.02197265625,1033.0625,1035.0,1010.0,1010.0,2797200
2023-04-19,1001.9542236328125,1030.93505859375,1033.1824951171875,1019.4000244140625,1032.9925537109375,1797480
2023-04-20,994.87890625,1023.655029296875,1036.0350341796875,1019.0,1029.75,1044260
2023-04-21,1001.020263671875,1024.842529296875,1029.3499755859375,1019.3699951171875,1023.655029296875,886100
2023-04-24,1010.4190673828125,1034.4649658203125,1035.449951171875,1020.052490234375,1025.0474853515625,1157360
2023-04-25,1009.2420654296875,1033.260009765625,1046.4300537109375,1015.4000244140625,1035.449951171875,3369280
2023-04-26,1026.875,1051.3125,1054.449951171875,1023.625,1029.949951171875,2497880
2023-04-27,1032.7867431640625,1057.364990234375,1059.99755859375,1050.00244140625,1053.3125,2044640
2023-04-28,1062.7779541015625,1088.0699462890625,1092.47998046875,1056.5,1059.0975341796875,3330320
2023-05-02,1062.0186767578125,1087.29248046875,1104.949951171875,1083.625,1090.0,1783400
2023-05-03,1068.3603515625,1093.7850341796875,1097.29248046875,1078.9200439453125,1087.25,1140260
2023-05-04,1059.4739990234375,1084.6875,1099.74755859375,1081.8924560546875,1093.9425048828125,1270680
2023-05-05,1075.4002685546875,1100.9925537109375,1103.93505859375,1087.4949951171875,1089.99755859375,1101520
2023-05-08,1073.612548828125,1099.1624755859375,1115.0,1088.02001953125,1102.5,1513120
2023-05-09,1073.031494140625,1098.5675048828125,1107.24755859375,1092.3349609375,1100.0,865740
2023-05-10,1076.87255859375,1102.5,1106.4949951171875,1098.4749755859375,1098.5675048828125,1208820
2023-05-11,1075.397705078125,1100.989990234375,1111.75,1097.5150146484375,1104.949951171875,1378740
2023-05-12,1064.3775634765625,1089.70751953125,1103.469970703125,1087.0,1100.949951171875,1339220
2023-05-15,1064.0086669921875,1089.3299560546875,1100.9949951171875,1087.5625,1091.0,1451400
2023-05-16,1063.705810546875,1089.02001953125,1099.449951171875,1086.0,1093.75,1545140
2023-05-17,1061.3665771484375,1086.625,1094.56494140625,1080.0,1089.02001953125,1335760
2023-05-18,1058.7830810546875,1083.97998046875,1097.5,1082.510009765625,1092.5,1023500
2023-05-19,1059.2982177734375,1084.5074462890625,1090.0,1075.3050537109375,1090.0,1464400
2023-05-22,1049.7578125,1074.739990234375,1084.949951171875,1071.10498046875,1084.949951171875,1021900
2023-05-23,1045.3087158203125,1070.18505859375,1080.5,1068.10498046875,1072.5,1109180
2023-05-24,1044.1806640625,1069.030029296875,1074.9000244140625,1063.75,1070.18505859375,887280
2023-05-25,1048.785888671875,1073.7449951171875,1081.5999755859375,1065.54248046875,1075.0,1630040
2023-05-26,1054.0042724609375,1079.0875244140625,1081.449951171875,1068.5,1074.24755859375,1263180
2023-05-29,1061.2177734375,1086.4725341796875,1092.5,1077.60498046875,1086.24755859375,1068740
2023-05-30,1053.6478271484375,1078.7225341796875,1086.4300537109375,1075.552490234375,1084.0,939620
2023-05-31,1058.465576171875,1083.655029296875,1092.91748046875,1075.75,1079.0,8495880
2023-06-01,1068.291748046875,1093.7149658203125,1096.24755859375,1078.6400146484375,1089.300048828125,1197320
2023-06-02,1076.69921875,1102.322509765625,1104.75,1091.0,1100.0,1164960
2023-06-05,1066.3310546875,1091.70751953125,1106.4849853515625,1089.5,1099.9525146484375,1630180
2023-06-06,1060.0430908203125,1085.27001953125,1096.5775146484375,1080.87744140625,1093.70751953125,1570460
2023-06-07,1092.3907470703125,1118.387451171875,1121.237548828125,1087.4949951171875,1087.4949951171875,3136240
2023-06-08,1081.70263671875,1107.4449462890625,1128.87744140625,1104.37255859375,1123.0,1458580
2023-06-09,1078.0179443359375,1103.6724853515625,1114.0,1102.0450439453125,1105.0450439453125,1418300
2023-06-12,1088.56201171875,1114.467529296875,1117.449951171875,1101.45751953125,1102.5,1247040
2023-06-13,1098.4881591796875,1124.6300048828125,1133.9000244140625,1114.6175537109375,1117.449951171875,1666940
2023-06-14,1110.0213623046875,1136.4375,1137.550048828125,1125.0,1126.25,1447540
2023-06-15,1121.6177978515625,1148.31005859375,1150.0,1131.625,1136.4375,1475140
2023-06-16,1121.7325439453125,1148.427490234375,1158.762451171875,1143.864990234375,1148.31005859375,1470820
2023-06-19,1113.24951171875,1139.7425537109375,1157.5,1138.0625,1151.25,866620
2023-06-20,1121.0975341796875,1147.7774658203125,1149.99755859375,1136.0,1139.7425537109375,1377540
2023-06-21,1117.9744873046875,1144.5799560546875,1153.4849853515625,1138.25,1147.8050537109375,1292840
